ut	nuts2
000270669100018	ITC1
000232363100004	DED4
000243693600037	UKD6
000180988400018	CH04
000268064700148	CH04
000257828100015	FRK2
000165690700005	FRK2
000087003800003	ITC4
000181061700001	DEA1
000257289500080	UKJ1
000170385000002	UKJ2
000085063300017	CH01
000089676300007	UKI3
000231989400023	DE30
000183479200064	FRK2
000252619100036	FR10
000268371100006	LT02
000245234600006	ES30
000178183800007	AT31
000225410200004	FRF1
000234945400006	DE91
000175963000011	DEA2
000272932300134	DEE0
000260125500169	ITC4
000264239200001	ITG2
000232228300043	UKJ1
000252944900065	DE13
000236969300102	ITI4
000224428100005	ITH3
000243585400005	DE91
000268907500016	CH01
000225082300019	FRG0
000175889200009	FI1D
000244533400060	FRL0
000245954900001	UKD7
000239336600019	HU11
000237859400003	UKN0
000174450500041	DK01
000228020500025	FRD1
000086373000028	DE91
000223773600009	ITF4
000271640000006	PL42
000263927300043	FI19
000175069000023	NL33
000237592900028	NL31
000233535400003	ES51
000179377400045	ITC4
000265433700017	DED2
000253751600004	FRC1
000270110400004	ITF6
000250950200002	TR51
000259899400021	PT30
000260778100092	FRE1
000265659300071	FRJ1
000171679300008	FR10
000248759600008	ITH4
000246033700037	BE24
000239895200023	DE21
000249340400114	FRK2
000244364600046	ITH5
000177975500021	FRF1
000228111500014	HR05
000258910800004	BE24
000261056400006	DE14
000246831600037	DE25
000264034700005	NL41
000240798800036	CH01
000183136900009	FRI1
000293755500015	DE50
000253020500002	DK05
000325188400028	AT13
000242478000003	FRJ2
000248979200010	DE72
000267781200016	DK01
000266414000009	SE12
000288086800017	CH02
000182700700017	FRH0
000171225600158	DE30
000227609700004	FRI1
000245488300015	FI1B
000178790800001	HR05
000254419100022	BG41
000165396400019	FRK2
000255983200168	FRL0
000188926600059	SE23
000241475100008	EL30
000225203300012	SE11
000182312700001	CH01
000237147700093	DE21
000186650800001	FRJ1
000267064600051	FR10
000183036100001	DE92
000270343000041	ES30
000248226900015	SE11
000175061800008	UKJ2
000264691900008	LT01
000231553300063	FRK2
000188238900006	DE11
000168056200027	DE25
000272932300048	FR10
000251770200011	ITI4
000302583300020	ITI4
000256099500026	UKI3
000242219900023	DEF0
000086204100092	DEG0
000185870900006	DE30
000181061100001	CH03
000247823100006	ITF2
000242963900024	TR62
000264513000018	DE23
000253016500030	UKK1
000251514100002	DK01
000263217000004	DE14
000168831200229	AT31
000252554800017	PL63
000272817600007	TR32
000261299200045	TRB2
000088369500014	NL42
000087003500009	ES61
000228030100009	ES52
000257424500032	FI19
000236056600023	BE35
000251326900017	CH01
000238934200009	FRK2
000270563200037	PT16
000245950400042	CH04
000236612500013	AT22
000089255400105	DE30
000167499500034	DE11
000241886100008	UKN0
000245439800011	ES30
000271091000016	DED5
000186817700060	ES51
000258714000031	TRB1
000268184600006	FR10
000271482900004	DE12
000236249900072	BE32
000237619700014	TR83
000263082200011	DE80
000266268300001	DK01
000253266800019	PL91
000240889400008	FRF1
000244875600009	NL32
000244713600022	UKD4
000182733000011	BE24
000235979600060	BG41
000241585800004	DE30
000173896400052	DE23
000405979900004	UKL1
000231167300028	UKJ2
000269929900024	DE60
000234960000010	DED2
000245106100096	ITC1
000232787000038	UKL1
000230685900039	FRG0
000247186800061	UKI3
000231614800029	FR10
000255702800020	ES51
000262544500053	ES30
000225079100023	UKE2
000248500800080	DE50
000245882900010	ITI1
000241894500006	PT11
000260264000032	UKN0
000230536400025	AT31
000259271900024	FR10
000257927100078	UKI3
000242736700020	DE60
000267695700181	FRK2
000261910400001	UKK1
000252643100018	UKC1
000250993100018	FI1B
000170593900020	NL41
000175069000044	SE11
000242578100025	DE30
000270201100018	UKI3
000088286000046	ITI4
000246589900013	FRL0
000088783800034	NL21
000264416500020	FR10
000231817100005	UKG3
000241711500001	CH01
000238001000046	DE14
000237950500096	SE23
000271422100012	FRL0
000170675600040	UKF1
000242616100015	PT17
000251799800030	UKC1
000167151300024	TR10
000181924600289	NL41
000265971000054	FRK2
000258075500022	PT11
000172181700002	ITH5
000175028000001	AT22
000229969800005	RO32
000263803300026	UKE4
000253305500010	RS11
000183234400009	FRK2
000268138200067	UKI3
000246132800018	ITH5
000176544200044	DEA3
000176925200023	ES53
000227316600031	FRJ2
000184049000065	DE92
000264943700012	HU33
000238623300079	ITI4
000253460200037	FRF1
000226705200026	FRJ2
000088727900050	FR10
000257619700014	FR10
000273091200030	FR10
000235553300012	UKH1
000237328000004	ES51
000265544400021	PT17
000241405200001	AT22
000236119700046	PT11
000241179500054	DE30
000255125900082	EL41
000259912500006	FRI3
000238849900014	DK01
000255845500016	UKE1
000174805800010	AT22
000168254300005	ITC4
000173459300047	UKJ1
000233989900003	UKG3
000257877100015	FR10
000269818900004	DE30
000263847300072	FRG0
000229173600071	DE30
000085202900012	DE94
000175900500027	DE23
000255107700007	ITF4
000267207900002	DE11
000269671200002	DE14
000267567100001	DEA2
000252866800018	DEE0
000182569100005	UKI3
000233437100034	ITG2
000236566900002	NL32
000259874100018	FRG0
000165153100008	UKE3
000269718700021	UKJ3
000173477700007	UKJ1
000172240100018	DEB3
000261907000009	FRJ2
000242906300016	FR10
000241289600006	NL33
000182717900065	FR10
000180272200004	FR10
000239710100009	ES61
000270627900010	DE71
000243262300003	DEA2
000301624500002	FRG0
000269639800031	DE26
000224209600085	ES41
000224954400024	PT11
000087122300007	ES30
000223623800041	NL31
000252391000004	NO06
000223922500059	DE72
000267469500032	EL52
000185832400010	FI1B
000272777100012	PL71
000230278100058	NL41
000188834900036	DEB3
000229392800011	FRH0
000262075900011	TR62
000173218400017	UKD6
000235668900002	FI1B
000178782900008	DEB3
000175442500037	FR10
000232518800006	IE05
000169497800001	UKM8
000184836200016	FR10
000261742700010	ITF6
000184187500018	DE14
000180272200010	DE25
000263272300015	DE24
000220711000002	UKH2
000258147200052	DE71
000227530600004	UKN0
000259295400004	DE21
000236163000021	DE30
000259710200018	BE21
000250526300004	BE24
000236299700023	AT31
000221535400013	UKH1
000260311900016	DEA4
000251595000006	ITH3
000174053800018	DE30
000183851000004	ITH5
000241247100019	BE35
000270285900023	ITH5
000170425000010	UKG3
000170956300040	ES11
000166024600077	IE06
000185297400002	DE21
000233866200013	DK02
000175325700017	UKM8
000245599900028	CH01
000230763800002	TR31
000270333400002	CZ01
000237501600001	PL84
000258190300028	DED2
000251477400014	DEA5
000225410300025	CZ01
000245870400112	SE23
000177931900006	PL91
000228669300003	ES30
000233280300009	AT13
000176384400016	DE92
000237955500011	DE60
000185485600016	CZ01
000180464100060	UKE1
000259242900035	HU32
000165725700002	IE06
000250406200003	PL81
000250620600105	PL22
000244852000057	UKL2
000267699700021	DEA1
000231436700053	DE21
000089458000004	UKK1
000179321800011	DEG0
000257413400136	DK01
000232973100042	ES42
000263891600016	NL21
000255854400007	FI1B
000268558600006	CZ01
000182035100066	ITC4
000244364600040	ITF4
000251932300009	DE26
000256102900004	FRF1
000248073600011	RO21
000240259200041	ITI3
000232808500007	NL31
000247625000035	CZ01
000235764600036	FR10
000234758100061	FRH0
000222976100064	ITF4
000184349600006	ITI4
000241307600023	TR10
000248984900028	FRF1
000238468100004	FRK2
000259074300023	TRB2
000233152500002	UKI3
000246424000017	DEE0
000168598400008	DEA1
000261029800027	IE06
000220120000021	NL32
000249008200017	FRI1
000183531900005	UKK1
000246474300040	BE23
000251335600008	FRK2
000264805700068	FRG0
000226755900028	FR10
000226811800004	UKC1
000252776000003	ITC4
000223897700028	ES51
000250295700089	FR10
000231964600014	FR10
000260777600016	DEA3
000171104600128	DE11
000271358100089	DE23
000178125900004	DE13
000257185300035	FR10
000268311000038	BE24
000259268700007	ES13
000256838400006	ITC4
000265308800001	UKH1
000234223900009	UKM7
000246891500022	DE30
000234814900028	PL21
000259523500032	FR10
000241030500049	NL41
000250272300008	LT01
000231601100006	CZ01
000228718200034	UKN0
000188617000049	UKD3
000254060400022	ITH5
000277143300056	RO11
000250689100025	ITF3
000248823200014	NO08
000262019400100	DED5
000245790100077	DEA1
000260487300015	BE21
000236288100025	ES30
000262534900012	UKH1
000279544900044	FI1B
000262176600078	FR10
000262458300014	FRJ1
000183124200051	SE33
000181073000040	DEA5
000237271000005	DED5
000184568300090	ES53
000267203200008	FI1C
000258222400007	DE12
000232327800092	EL43
000249758000018	FR10
000270438100015	DEA3
000253353800027	UKF1
000239475700002	PL84
000176702300010	ITH4
000262782900041	ES51
000254473800026	UKK4
000246833500008	DE80
000266226000028	ES30
000266191000023	BE35
000269110100005	ITH5
000254554800009	ES30
000256677600088	DED2
000207200600012	ES42
000258980200032	UKM7
000169686600013	DEA1
000261348200050	RO21
000181016200031	UKK4
000259701800008	UKK1
000260211600034	FRL0
000238839700033	UKJ1
000173660100232	UKJ1
000261616700028	PL91
000258863700068	PT16
000255257600019	UKI3
000226886900011	ES30
000269103600012	DE11
000366150100019	UKL2
000221437000002	SE12
000261074800026	DE30
000235136600077	SE12
000220109200006	FRF1
000185565500029	UKM8
000189222100060	FI1B
000242100500069	SK01
000243988200031	RO11
000186810500011	DEA2
000246538200025	ITH4
000230785100011	FRG0
000265030200020	AT13
000226776100001	DEA2
000240901100015	DE40
000175648500043	DE60
000272050400001	SE11
000222929500004	DE92
000234117700003	PL81
000086225200037	DE40
000224783800004	DEB3
000233856900009	DEA5
000222852000004	DEA4
000266519900103	DED5
000250327000025	FRJ1
000250526300007	CH04
000088580300013	DE11
000264461000005	DE11
000229120900008	DE30
000269831800005	FRC2
000222310100009	FRG0
000232039900017	FRK2
000208997800035	UKM8
000189146100001	DK03
000270436900038	UKK1
000279548000065	DED2
000255344800007	PL51
000268687200008	FRF1
000252257700046	ITF4
000266501300125	UKD3
000260726500025	FRI3
000184022400002	DE25
000260091300028	IS00
000177043800005	UKE3
000258418400003	UKG3
000226433500017	FI19
000267692700012	PL63
000248508400015	UKL2
000182604000011	FR10
000249987300003	UKI3
000167535400018	FRF1
000171023000050	UKD3
000220937100041	UKI3
000268433900002	NO06
000171647900006	DK01
000223116900039	AT22
000176365000048	FRF3
000185299000009	ES51
000085734300009	UKD7
000166065300007	DEC0
000237052500020	EE00
000182316100027	UKE1
000272846000008	ITH4
000250430600002	BE24
000243338500028	SE22
000271543800027	FRF1
000247761200021	SE11
000272036300008	EL63
000224888600009	DE71
000246524600005	PL63
000265111400014	SE33
000247884000032	DEA2
000174938800083	DE26
000270950300018	TR51
000225302800031	CH01
000268433900008	ES22
000260119600100	FRJ1
000260935100030	DE12
000169534000038	DEA3
000256064900009	BE32
000232933400003	NL41
000246348100028	DE30
000182389100052	UKC1
000185631000007	PL71
000223609800006	IE04
000271560000033	FRF1
000186050800012	DE72
000300511800017	FI19
000264921400002	UKH1
000242041500114	DEG0
000240923900131	RO21
000208013800015	FI1B
000249672100013	ITC3
000171898900038	DE21
000230365200004	DE40
000236983800024	BE10
000240988200039	DE21
000268506100008	PL71
000221168000009	NL32
000179564700010	ITI1
000186273200052	BE21
000272005400001	NL41
000243018100003	TR42
000182184200036	FRI1
000174778100002	UKD4
000174844900013	UKI3
000253649400045	NL22
000266191000033	AT33
000221578600029	UKF2
000181952000045	UKG1
000229751400055	ITC1
000176798900013	CH02
000267444900002	ITI1
000231769700022	SE22
000272170200006	DED2
000226679100002	NL31
000245380400004	DEA3
000248011300027	CH01
000269198900015	DEA1
000270110000019	ES51
000228603200058	ITI4
000229592000019	ITH4
000261561900030	UKD3
000266513400018	CH01
000251268300005	FR10
000181435600020	UKH1
000270074400003	FRB0
000227116900011	ES61
000170846100001	FRL0
000239827800012	UKD3
000241477200013	PT11
000223812800031	BE23
000263282400010	DEA3
000254650000011	UKH1
000220889200020	UKF2
000235270000002	FR10
000167138500017	DE14
000180279400095	DE11
000249080900020	PL91
000271756400011	IE06
000185387900008	ITH5
000243820100016	UKJ2
000244071400007	IE05
000222595000039	DE21
000233353500006	FRK2
000173773400011	UKF2
000178202600025	SE12
000183479200017	ITI4
000173058400002	FRJ1
000257947800030	UKH1
000231202200051	ITI1
000261768700003	UKM7
000179495100057	ES61
000165879500015	FRK2
000263770800074	FRF1
000277445500123	PL91
000255125900085	AT22
000253989300118	SE12
000239512500001	DED2
000273206200004	DEB3
000332005300017	ITC4
000222123600009	DE30
000258070900001	ITI4
000237858600015	NL41
000174005400004	DEG0
000257289700052	CH01
000177351400207	SE23
000270973600045	UKG3
000271756400004	HR05
000260309500015	DK01
000268290000005	FRK2
000221410000014	DED2
000257952800029	ITC4
000228991600034	NL11
000168013000007	EL30
000221796500009	FRK2
000231602900003	SE33
000221028200012	ES52
000266618000003	CZ06
000178995700005	DE71
000272310000116	DEF0
000087358100067	ITH5
000236267000018	DE40
000172178600009	DE40
000268797200002	UKJ1
000251988200055	DEA5
000249023200006	DE40
000264275300017	DE72
000178678400015	NL33
000169531000017	BE33
000223555000021	FI1B
000255469000005	UKJ2
000173423700030	NL32
000263818900021	ITC4
000236969300111	ITG2
000266351600060	FRK2
000179495100031	BE24
000189270900016	UKF1
000280066600008	FRF1
000294746700014	DE92
000251120300013	UKM7
000238487800014	FR10
000234379000017	DEA2
000181233000029	ES51
000187175300024	DEA5
000259075300208	DEA2
000262871400006	RS11
000343617200017	ITI1
000176871600017	FRG0
000168499100004	FR10
000228434200005	BE24
000227032900004	ES51
000242941600099	BE10
000254563600217	ITC4
000249755900008	DEG0
000248229900051	FRK2
000271428500005	DE12
000234223900018	ES30
000271029200010	DED2
000242314700003	ITC4
000181839800046	ITG1
000166378000005	UKJ1
000184285800034	FR10
000168691000037	DE11
000231577500014	FR10
000227100500014	DE30
000248400200006	DE13
000177036300044	FRF1
000249742800003	DE11
000266263400060	DEE0
000186232600047	DE60
000172682300018	DED4
000348769700008	DEB3
000246312200007	UKI3
000252718600064	DE71
000241669800048	DE94
000272434000009	FRK2
000087122900002	CH04
000172307900116	DED2
000223047000045	FRJ1
000261686100022	UKH1
000245685300016	DEA2
000272873800106	CH03
000263927300025	DE12
000174673400005	PL91
000241956800015	TR51
000089028500009	FRF1
000261320200033	ITI4
000179118300002	ITG1
000234063000052	DEB3
000262471300017	FR10
000251355800063	NL41
000258846300007	NL22
000254480500041	ITH4
000229804700121	SE33
000272468100001	FR10
000305106400021	AT13
000222531400022	ITG1
000245038000054	BE24
000256500400036	CZ01
000365169800004	FRK2
000260709000016	AT31
000167378300080	PT17
000264380200051	DEB3
000242726300038	FR10
000239475700004	UKG3
000270001000019	UKI3
000208139300002	DE40
000086441200011	UKM7
000270950300016	PT16
000264702300010	DE94
000240892300027	DE30
000261246800022	FRK2
000242611800068	DE11
000258734700024	CH02
000257238300006	DEA5
000244993800058	CH01
000235446100003	PT16
000229173600030	EE00
000266183600001	AT33
000221884100012	DE21
000224685600015	BE24
000266296800023	NL33
000242285600025	UKJ4
000256945000021	ES51
000089996600034	UKE3
000225600200001	FI19
000270540400133	CH01
000172745300036	FRF1
000184518100002	SE12
000277085400205	ITH5
000170564800026	FRJ2
000184242700068	DE30
000276195800022	NL41
000087438700038	AT22
000227357201001	SE11
000249838600036	ES30
000258834600015	DE60
000232497600027	NL41
000270018600002	FR10
000179207000011	DE94
000186699900020	DEA2
000171135900064	DE21
000270795500008	IE06
000259567500010	RO32
000231375000032	ES30
000171584200065	DE72
000221174100018	BE24
000237581900230	AT13
000226478900020	DEA4
000220259200001	ES30
000259347300001	ITC4
000269310700059	BE10
000086346000002	UKH1
000175143000024	FRC1
000250185900020	DED2
000226704300014	FR10
000250957600004	UKC1
000263224900004	ES51
000234635700012	ITH5
000264943700003	DE21
000185782000049	AT22
000245512200035	CH02
000184357100011	ITH4
000271571100018	DEB3
000251831000027	FRG0
000279396200002	UKH1
000247095700024	FRF3
000248485700071	ES30
000089994400012	UKI3
000263847300060	DE11
000266894800027	FRJ1
000228718200027	DED2
000244011500064	CZ05
000287585000002	DE25
000266188500002	ITH3
000244614500008	TR10
000242940700001	FRJ2
000232226000038	ITC4
000233199300012	ITH5
000228755300021	ES51
000262782900023	UKN0
000262610300005	BG41
000180771900001	UKI3
000184733900051	UKK4
000249228000031	UKH1
000258293800060	CH04
000236250100012	CH02
000258686400003	CH01
000271669700013	DEA2
000267126700020	FRE1
000265950500006	NL11
000270459900012	FRF3
000188050800005	ITF6
000227479600045	NL41
000257036700004	CZ01
000427937900048	SE12
000168392800023	AT31
000187633100020	ITH5
000270854400001	UKJ1
000260498401315	SE22
000247246400005	DEE0
000255791200021	CH01
000263745600002	CZ01
000279630101024	ES51
000268749500221	NL33
000261074800005	DE11
000264769300033	DED2
000180564900004	CZ01
000171160200004	DE11
000253781800015	ES11
000180564000029	DE21
000173982400018	ES51
000229138600005	FRF1
000221394600025	NL11
000251697100019	CH01
000262222500010	FRH0
000186381900035	DEA3
000247320500017	LT01
000254408000007	UKI3
000249893100012	ES30
000085591900109	ITH3
000271907500024	TR10
000187403500055	DE30
000228103300018	ITG2
000245905006058	ES11
000272311400023	NL22
000294077000061	FI1B
000165521800001	UKH1
000244855500029	UKD7
000240853400006	ES52
000236401600033	DED2
000261127100014	UKI3
000179976800019	FRI1
000224783800010	FRF1
000224856000075	SE12
000228202400013	UKD6
000233616400020	DE11
000256469900069	FI1D
000264779900012	TR51
000246608200057	ITC1
000263490400019	ES22
000224515800002	BE10
000165954600008	DE21
000088582300001	UKG3
000236598300009	UKL1
000227797600006	ITI3
000262889400017	FRK2
000258949900008	PT16
000246952300007	DK03
000267564300031	FR10
000263847300049	CH04
000226492300040	DE21
000176907700024	BE24
000176358300009	RO32
000265874700024	ITH5
000261434900282	CH02
000188837800065	ITH3
000220851800019	EL63
000165756500048	ITH5
000185671100018	SE12
000175877900021	FI1B
000188316500007	UKE4
000260429300026	ES11
000257962500035	BE24
000248583500004	UKL2
000236438100020	HR05
000233733700010	ITC1
000265469800015	UKJ1
000240465200049	DE12
000272345400030	BE35
000256653400006	DE21
000237640200019	DE30
000261766400004	UKG3
000089639000014	DEB3
000165067900011	FR10
000231016900070	DEB3
000268429000019	BE35
000179430600020	UKH1
000238249000072	BE24
000227560200023	CH02
000269493700007	UKE2
000239758400041	PT16
000243138700007	DE13
000238295300008	SE12
000240742100023	FR10
000271103000023	TR22
000299794400011	DE13
000231310700002	SE23
000258746900001	UKI3
000085945600038	EL52
000224017200025	BE24
000261379400018	ES61
000229275600065	UKF1
000232592100038	ES30
000248491700093	NL33
000277194600038	AT31
000264556700042	CH01
000259236100027	FRJ2
000234617600045	FRK2
000254492800007	BE23
000273393800027	DE91
000284395100002	PT17
000178085700014	NL31
000251701000035	SE11
000322208700067	FR10
000266538200028	PL81
000264792700043	DE21
000256942400004	FRK1
000227614300009	DE26
000251106100025	DE14
000260581800002	CH01
000255629400032	DE26
000231660800042	UKJ1
000255942400002	UKL2
000249155300160	DE21
000262915100043	CH01
000258399400002	FRJ2
000238249000002	UKI3
000329773100028	FR10
000239764100036	ES30
000236440300030	UKF3
000266263400074	CH01
000263167000034	UKI3
000244801500006	DE30
000270001000013	FR10
000225486100024	UKJ2
000246253200035	ES24
000237818400001	FRK2
000225869900006	DEA5
000251720400009	ES30
000177163000028	UKH1
000166697200037	DK01
000179344700047	NL31
000272182000009	CH03
000265875200025	FRK2
000225838800009	DK03
000247983600006	ES51
000273228000012	UKN0
000225852300011	UKK1
000254565900017	DE71
000250600400019	FRK2
000176304700023	UKJ3
000255905400024	IE06
000277445500128	DE91
000178874100012	ITH3
000176275700043	ITH3
000290184600118	FRK2
000261630700064	FR10
000178933700010	FRF3
000270124100018	ES24
000171391100009	BE34
000233775400001	ITG1
000225506300001	DEA2
000226290900009	NO06
000264197400012	DE25
000087323700002	FRG0
000252651200034	DEB3
000247419600009	DEA2
000272504300016	SE12
000233458500068	FI19
000270161500002	ES51
000243328900004	FRK2
000267887700002	FRF1
000251038800009	DED2
000268504500015	DEA5
000264473300011	RO42
000248692600038	UKC1
000258987500001	BE24
000224064100046	DEG0
000242538500121	BE22
000256116100027	ITH5
000260440500015	RO42
000223640500025	ITH2
000184062900011	BE21
000177258800010	UKG3
000256177800003	IE06
000181413300017	AT31
000266229302076	FRF3
000247314000014	ITC1
000235861000003	DE71
000245320100010	ES30
000267378800009	NL31
000268138600012	FRK2
000180906000001	DEA1
000258305600015	DEE0
000188594800007	DE13
000227002600012	ES61
000185954400031	NL41
000242825200036	BE24
000237163700018	UKC1
000265520400002	CZ06
000230638600006	FRJ1
000224209600056	ITC4
000184654700037	UKE4
000175565000048	DE21
000254767200026	ITH2
000224146800028	RO32
000245438900038	SE11
000259998200144	FI1B
000236051100008	DE92
000255317900002	UKE3
000248028300065	UKF1
000272085200019	CZ01
000171721100019	ES24
000087741300014	DEB3
000227563700004	ITC4
000225349800017	UKJ1
000245939400013	FRK2
000239690800039	DED2
000236489300002	UKG3
000237172000038	DEA2
000254085900003	DE40
000227293800008	RO21
000271756400019	DE26
000247678300064	ITI2
000265678400001	ES30
000245670700080	NL33
000175757400021	NL33
000252922000001	UKH1
000182717900034	DE72
000340300500039	DEE0
000165068700042	DED5
000239074000011	FR10
000178501000027	ITH3
000185841200008	UKE2
000260581800063	DE30
000184881800006	CH02
000251743400008	FR10
000224756600003	DE94
000232013900020	SE23
000332038900044	ITG1
000166930100004	DEB3
000271572100016	FRH0
000250967100006	DE21
000233437100034	DE30
000220728200036	PT16
000237312700009	DK03
000169788700019	DEE0
000235770000022	FRL0
000265465200009	ITH4
000231502200008	IE06
000264653200021	UKJ1
000271352000007	SE12
000233775600022	UKM8
000232502200053	BE24
000249447700024	RO42
000229118100008	DEA3
000367337600005	FRK2
000087189800100	DE30
000179210300031	UKC2
000269235100018	PT17
000245683400014	ITH5
000227448200020	DEA2
000248661400038	ITI4
000264662900024	UKJ2
000264950600008	UKM7
000266269200002	UKC2
000253713700020	DE21
000179074000035	EE00
000264504800006	ITC4
000179020000012	BE32
000173663800035	CH03
000245408400042	ES30
000272098700009	ES61
000263529300013	BE24
000270747800046	SI04
000089604700006	NL11
000187202000051	DE30
000271871300003	CZ03
000239760400005	DE30
000172243200010	DE91
000185165600008	BG41
000251324900103	ITC3
000260736000007	DEG0
000172272600005	DEA1
000171849900009	CH04
000253830300052	PT17
000186557600024	UKJ3
000266461200077	HU11
000247378600094	FRK2
000240009100001	CH01
000172200200005	FRF1
000233839800001	DK02
000227273900005	FRK2
000271765300015	DE71
000260309500014	UKG3
000174053800024	UKC2
000256114500033	DEA2
000243585200109	DEG0
000236942200004	FRF1
000268138400009	FRG0
000252932500016	ES30
000165050400049	ES30
000260574500048	ES52
000264779900010	CH02
000270883000008	ES51
000251355800072	NL33
000229982700030	DE11
000178648300011	DE14
000268179700009	DE60
000249727200017	FR10
000265656300053	ITF4
000270497200014	TR51
000237885000022	CH04
000173459300015	FRD1
000228488100009	ES61
000225855200019	NL41
000084955800012	IE06
000242511800005	DE13
000253166200028	FR10
000237080700020	FRK2
000251831000005	DE40
000182573200032	DEA2
000242538500075	DEA2
000240560600045	NL32
000185802400014	NL33
000179955800024	FRJ1
000181670800045	CH04
000173660100269	DE72
000256184800017	UKD3
000223821200012	DE30
000173827800016	ITC3
000238781500037	DEA2
000269835800004	UKJ1
000270457900011	CZ01
000223273800012	NL31
000237038600034	FRF3
000248658800062	ES52
000257697700019	RS22
000240384000051	FRF3
000246002100212	PT15
000262242400031	UKI3
000224792900031	DE30
000251678700056	FRC1
000257624000008	UKH1
000167156100006	FI1D
000246171200078	NL32
000270625900035	HU32
000264792300050	ITC3
000178134600001	PL91
000253727400008	ES51
000221193200019	FRI1
000182371500004	DE30
000266500800062	DEA5
000235116600024	DEB3
000265466400011	PT17
000182533700003	NL33
000178376700003	FRJ2
000230653700039	UKC1
000182993700060	HU33
000254542800136	ITH2
000245005900012	PT11
000252316800026	CH01
000174015300061	CH05
000259657700071	FRL0
000166744000057	FRH0
000174145200030	FR10
000273712900035	DE23
000263801500070	FRK2
000232605600070	NL31
000237682100001	AT31
000243684100079	SE11
000183906100010	UKD3
000254425200037	FI1B
000252925100015	FRJ2
000223485700022	ITH5
000262519100057	DED2
000267469500032	DE26
000241251600111	UKC1
000226736200017	FRK2
000237581900105	EL30
000187447200009	DE30
000230014500008	NL41
000242002400031	DK01
000224486600021	DE30
000274323700103	TR51
000172967200016	BE24
000228065500144	ITI4
000248980100014	PL91
000242428200003	ITC4
000266894800013	UKF2
000264674300011	DEA2
000236280100016	ES62
000087496300006	DE91
000189501500001	DE24
000238546300008	FRF2
000260498400315	DE25
000268806500039	ITF4
000267206200002	NL41
000247342600019	EL43
000297160600159	ITH5
000227392900034	UKI3
000280120900100	HU11
000223291400008	UKJ2
000180279400016	FRE1
000263082200017	UKK1
000260533200067	CH01
000265030000035	UKG3
000267452700002	DEA5
000247320500115	PL21
000230103000010	FR10
000270168100049	PL21
000230261200003	ITC4
000240091000001	DE11
000177740900010	BG41
000229986400001	ITC4
000250295900021	UKD7
000280420600021	DEG0
000225848000014	UKF1
000234038100024	FRF1
000244839000011	BE24
000242126800048	CH02
000171981300002	DE14
000269799100016	UKG3
000230890200089	DE30
000238030200018	FRF1
000179551300007	ITF4
000253404300021	DEG0
000233094700029	BE10
000269314800060	ITI4
000238623200047	RO31
000261563300014	UKC1
000271144200030	EL30
000180069000060	FRI1
000265013000014	DEE0
000168004800011	DED2
000188955400064	DEA5
000225697000017	FRJ2
000263865000006	BG41
000255662700006	SE11
000235352600018	ES51
000257676300025	UKK1
000242991900210	UKC1
000227928200011	ES51
000176549200019	FRJ2
000183403600003	DE21
000232612100005	DEA1
000264471800004	ITC1
000228923300049	CH02
000241548900022	ITH5
000269850300036	ITI1
000165267300045	UKJ1
000265170700005	ES30
000302363400030	ES52
000246380400017	ES13
000255927700007	FRF1
000248250300020	ES30
000230596000029	DE71
000227923200020	DE12
000229708700018	UKE3
000259537700006	TR10
000261480600003	EL30
000235990700001	FR10
000248510300018	DE11
000228620600027	CH01
000226346400026	PL63
000231769700005	ITI1
000268471600006	FR10
000245828400002	UKC1
000230737500021	DE40
000246393700019	CH04
000271864600037	PT11
000271834800018	DE21
000175648500046	BE24
000230776400031	AT31
000260044800001	DK01
000270243800015	DEA1
000265961100241	UKL1
000176702300021	ES42
000248381000011	FR10
000244626600005	PT15
000085502900019	DEB3
000181579100002	ES22
000241519600014	CH01
000188087800008	UKD3
000261290300020	BE24
000239157000010	FR10
000280622800007	LU00
000167573800028	PT16
000235992500002	UKD3
000256859900026	UKK4
000185435500004	ITF4
000235501900016	DK05
000272389800052	FRK2
000373519500002	BE33
000255994700021	CH01
000225561900007	UKI3
000261196500014	DEA5
000263458800032	FRD2
000222802200244	UKC2
000232220700133	NL41
000227342200089	UKH1
000240790700008	UKI3
000260438800013	FR10
000256706200053	NL41
000269625800036	IE05
000186208200030	FRF3
000178820200054	ITH5
000245434300010	SE12
000183066100004	UKI3
000243018100003	TR51
000220937000008	FR10
000171866400038	DE12
000247167700004	NL33
000224218000044	DE91
000247372900084	IE05
000173122300007	FR10
000266545500010	UKI3
000253451200106	FRG0
000268034000026	DE30
000267179500024	ES30
000188300200147	ITC1
000176955900008	DE60
000222855400041	DE21
000230663100012	PL91
000246919000009	FR10
000233983900028	ES51
000234843600010	CH03
000183642900033	FRJ2
000236469200021	DEE0
000236288000019	ES51
000268455900026	NL31
000178104600053	DE60
000250171600062	UKJ3
000179731000043	ES30
000251441100004	DE40
000182573200077	IE05
000252173300018	BE24
000271105500034	ES30
000225979400006	NL32
000225024200056	ES11
000222658800065	ES30
000166307800102	DE30
000086608900017	DE72
000261141500016	FRK2
000250388600042	UKG3
000249603700254	ES24
000239454800047	FRL0
000238099500001	UKD7
000257699900013	UKI3
000228025400017	ITG1
000236249900072	UKJ1
000184394900050	ES70
000173503100017	BE31
000253653100033	EL63
000182309400013	UKM7
000269842800001	CH04
000207563000278	NL32
000225220600004	IE06
000265875900015	PT17
