"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KAZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.375432,
"KEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",80.98782,
"KWT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.020584,
"KGZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",27.06321,
"LVA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",40.4361,
"LBN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.952848,
"LBY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.326624,
"LTU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",20.0789,
"MKD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.73439,
"MYS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.410964,
"MLT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.169867,
"MDA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.96558,
"MNG","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",3.182055,
"MAR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.531212,
"MOZ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",78.16665,
"MMR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",51.08258,
"NAM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",21.04238,
"NIC","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",58.03616,
"NER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",74.50272,
"NGA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",75.3931,
"OMN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0,
"PAK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",35.88534,
"PAN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",24.63937,
"PRY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",112.6481,
"PER","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",24.71715,
"PHL","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",30.79498,
"QAT","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0,
"ROU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",17.98201,
"RUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",2.552919,
"SAU","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.009829712,
"SEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",36.20237,
"SGP","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.043626,
"SVN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",16.37123,
"ZAF","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",6.875642,
"LKA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",44.64316,
"SDN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",67.7047,
"SYR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.6745037,
"TJK","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",45.03273,
"TZA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",83.47747,
"THA","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.80399,
"TGO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",82.30653,
"TTO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.07636727,
"TUN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.50978,
"TKM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.0361716,
"UKR","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",4.601463,
"ARE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",0.2914331,
"URY","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",60.35626,
"UZB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",1.101459,
"VEN","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.15394,
"VNM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",19.39968,
"YEM","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",5.028779,
"ZMB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",84.01597,
"ZWE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",71.74552,
"WLD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.51914,
"SRB","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",13.16047,
"MNE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",32.67046,
"G20","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",11.3464,
"EU28","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.32078,
"OECD","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",10.55628,
"LAO","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",61.55989,
"G7M","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",9.414599,
"GNQ","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",4.940305,
"MUS","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.3544,
"OECDE","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",15.056,
"EA19","RENEWABLE","TOT","PC_PRYENRGSUPPLY","A","2018",14.16309,
